X var	Y var	MIC (strength)	MIC-p^2 (nonlinearity)	MAS (non-monotonicity)	MEV (functionality)	MCN (complexity)	Linear regression (p)	rawp	BH	BY
k__Bacteria;p__Bacteroidetes;c__SM1A07	k__Bacteria;p__Acidobacteria;c__S035	1	0.51650614	0	1	2	0.69533724	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__Chloroflexi;c__C0119	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	1	0.5838462	0	1	2	0.6450998	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136	k__Bacteria;p__Acidobacteria;c__S035	1	0.27762997	0	1	2	0.84992355	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136	k__Bacteria;p__Bacteroidetes;c__SM1A07	1	0.65929437	0	1	2	0.58369994	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__Chloroflexi;c__P2-11E	k__Bacteria;p__Acidobacteria;c__S035	1	0.8383102	0	1	2	-0.40210673	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__Chloroflexi;c__P2-11E	k__Bacteria;p__Bacteroidetes;c__SM1A07	1	0.62152237	0	1	2	-0.61520535	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__Chloroflexi;c__P2-11E	k__Bacteria;p__Chloroflexi;c__Gitt-GS-136	1	0.83921444	0	1	2	-0.4009807	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__Elusimicrobia;c__4-29	k__Bacteria;p__Acidobacteria;c__TM1	1	0.9578813	0	1	2	-0.20522848	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__Elusimicrobia;c__Endomicrobia	k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22	1	0.69301945	0	1	2	0.55405825	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__NC10;c__wb1-A12	k__Bacteria;p__Bacteroidetes;c__Cytophagia	1	0.28254372	0	1	2	0.8470279	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__OD1;c__	k__Bacteria;p__Chloroflexi;c__SAR202	1	0.22575843	0	1	2	0.87991	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__Planctomycetes;c__ODP123	k__Bacteria;p__Chloroflexi;c__SAR202	1	0.80692697	0	1	2	0.43940076	0.000259948	0.00841365026666667	0.062732655780106
k__Bacteria;p__Planctomycetes;c__ODP123	k__Bacteria;p__OD1;c__	1	0.5457143	0	1	2	0.6740072	0.000259948	0.00841365026666667	0.062732655780106
