Centralia_C01	Centralia_C02	Centralia_C03	Centralia_C04	Centralia_C05	Centralia_C06	Centralia_C07	Centralia_C08	Centralia_C09	Centralia_C10	Centralia_C11	Centralia_C12	Centralia_C13	Centralia_C14	Centralia_C15	Centralia_C16	Centralia_C17	Centralia_C18
Unassigned;Other	0.001448308	0.000939811	0.000953432	0.001148658	0.001098716	0.001947725	0.001007913	0.000953432	0.000622001	0.00151641	0.002833054	0.001856922	0.002074849	0.002088469	0.001271242	0.000826307	0.000730964	0.001121417
k__Archaea;p__Crenarchaeota	0.004022574	0.003854588	0.004930604	0.011264114	0.00902128	0.00211571	0.037896639	0.00210209	0.223883917	0.262093827	0.002547025	0.159677104	0.015082381	0.157320766	0.121762305	0.013588671	0.005216633	0.002851215
k__Archaea;p__Euryarchaeota	0.000744585	0.0005993	0.000531198	0.001411987	0.000808147	0.00813141	0.000426774	0.000381373	0.001416527	0.002079389	9.99e-05	0.000272409	0.000381373	0.000217927	0.000227008	0.001307563	0.000122584	0.00031327
k__Archaea;p__[Parvarchaeota]	0	1.82e-05	4.54e-06	0	0	0	0	0	0	4.54e-06	0	0	4.54e-06	0	0	0	0	0
k__Bacteria;Other	1.82e-05	4.99e-05	6.36e-05	2.27e-05	5.45e-05	9.08e-06	4.54e-06	4.54e-05	9.08e-06	0	4.09e-05	0	4.99e-05	1.36e-05	2.72e-05	2.72e-05	1.82e-05	1.82e-05
k__Bacteria;p__	6.36e-05	0	9.08e-06	1.36e-05	4.54e-06	0	3.18e-05	8.63e-05	0.000281489	0	9.08e-06	0	9.08e-06	4.54e-06	9.08e-06	9.08e-06	4.54e-06	9.08e-06
k__Bacteria;p__AD3	0.000553898	0.000199767	0.000167986	0.001711637	0.000622001	3.63e-05	0.000644701	2.27e-05	0.000762745	9.08e-06	0.001085096	0	0	0.000227008	2.72e-05	0.000131664	6.36e-05	0.000562979
k__Bacteria;p__Acidobacteria	0.234544192	0.272926627	0.360674122	0.443032458	0.379252419	0.352538171	0.372691901	0.16376324	0.328570715	0.337909805	0.336874651	0.39374458	0.112055462	0.263832705	0.281017175	0.350281716	0.210095479	0.342345533
k__Bacteria;p__Actinobacteria	0.03823261	0.072133916	0.034900139	0.042831783	0.029551842	0.050250389	0.035186169	0.057151419	0.036044257	0.041810249	0.079852173	0.003464135	0.068810526	0.034741234	0.013457007	0.064642667	0.075906782	0.042355067
k__Bacteria;p__Armatimonadetes	0.003032821	0.00270593	0.004862502	0.002428981	0.00300104	0.0042178	0.003028281	0.001039695	0.007500329	0.004431187	0.003441434	0.001729797	0.069505169	0.002955638	0.002483463	0.002002207	0.001993126	0.00392269
k__Bacteria;p__BHI80-139	4.54e-06	4.99e-05	0.000254248	0.000136205	5.45e-05	4.54e-05	0.000254248	7.26e-05	0	0	7.26e-05	0	0	1.82e-05	9.08e-06	0.000195226	3.18e-05	1.82e-05
k__Bacteria;p__BRC1	4.54e-05	0.000127124	0.000104423	0	3.63e-05	0	9.08e-06	1.82e-05	4.54e-05	2.27e-05	9.08e-06	3.18e-05	5.45e-05	9.08e-06	4.54e-05	2.72e-05	4.54e-06	0.000140745
k__Bacteria;p__Bacteroidetes	0.136790204	0.117235775	0.105812755	0.039245064	0.096223957	0.069282702	0.078594551	0.082521781	0.067879795	0.032580122	0.062245468	0.027826584	0.10896816	0.04426193	0.050100564	0.054822321	0.11318596	0.103678884
k__Bacteria;p__Chlamydiae	0.003405113	0.003396033	0.010959924	0.004444808	0.009861208	0.015236746	0.01714815	0.007736417	0.000971592	2.72e-05	0.005252955	0.001466469	0.000826307	0.000535738	0.002047608	0.008244914	0.003845508	0.003082762
k__Bacteria;p__Chlorobi	0.012789605	0.009843047	0.013461547	0.003268909	0.00632897	0.002002207	0.007745497	0.009688682	0.004413027	0.00300104	0.002260995	0.007936184	0.035040884	0.005039567	0.004744458	0.006451554	0.004939684	0.009289149
k__Bacteria;p__Chloroflexi	0.081468466	0.052030128	0.030269186	0.099488325	0.057033375	0.077768243	0.058054909	0.053682743	0.065369092	0.092146901	0.100559801	0.169383947	0.032062545	0.250125989	0.207480352	0.107610655	0.033769642	0.034046591
k__Bacteria;p__Cyanobacteria	0.00419964	0.015908688	0.005906736	0.002978339	0.002506163	0.07255161	0.004562852	0.004485669	0.009457134	0.037174755	0.049887177	0.061904956	0.017906355	0.004485669	0.014319636	0.011636407	0.009838507	0.002488003
k__Bacteria;p__Elusimicrobia	0.006524197	0.005134911	0.007600212	0.020694007	0.012299269	0.004635494	0.010165398	0.00510767	0.003890909	0.000581139	0.006174605	0.001016994	0.002088469	0.00119406	0.001539111	0.004190559	0.009970171	0.007364125
k__Bacteria;p__FBP	0.000108964	0.000140745	0.000122584	2.27e-05	5.45e-05	1.82e-05	1.82e-05	3.63e-05	3.63e-05	4.99e-05	4.54e-05	4.99e-05	9.53e-05	6.81e-05	6.81e-05	3.63e-05	0.000227008	0.000177066
