X var	Y var	MIC (strength)	MIC-p^2 (nonlinearity)	MAS (non-monotonicity)	MEV (functionality)	MCN (complexity)	Linear regression (p)	rawp	BH	BY
k__Bacteria;p__Tenericutes	k__Bacteria;p__Proteobacteria	1	0.6010254	0	1	2	0.63164437	0.000259948	0.0182593215217391	0.0904380411447778
k__Bacteria;p__Chlorobi	k__Bacteria;p__BRC1	0.73944	0.22372597	0	0.73944	2	0.7181323	0.005316005	0.0182593215217391	0.0904380411447778
k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Chlamydiae	0.73944	0.28647584	0	0.73944	2	-0.67302614	0.005316005	0.0182593215217391	0.0904380411447778
k__Bacteria;p__NKB19	k__Bacteria;p__Bacteroidetes	0.73944	0.028753042	0	0.73944	2	0.8430225	0.005316005	0.0182593215217391	0.0904380411447778
k__Bacteria;p__NKB19	k__Bacteria;p__FCPU426	0.73944	0.50311875	0	0.73944	2	0.4861289	0.005316005	0.0182593215217391	0.0904380411447778
k__Bacteria;p__SBR1093	k__Archaea;p__Euryarchaeota	0.73944	0.22410852	0	0.73944	2	-0.71786594	0.005316005	0.0182593215217391	0.0904380411447778
k__Bacteria;p__SBR1093	k__Bacteria;p__Chlamydiae	0.73944	0.16017157	0	0.73944	2	0.7610969	0.005316005	0.0182593215217391	0.0904380411447778
k__Bacteria;p__SC4	k__Bacteria;p__OctSpA1-106	0.73944	0.6758479	0	0.73944	2	-0.25217476	0.005316005	0.0182593215217391	0.0904380411447778
k__Bacteria;p__WS4	k__Bacteria;p__Chlamydiae	0.73944	0.4920717	0	0.73944	2	0.4973614	0.005316005	0.0182593215217391	0.0904380411447778
k__Bacteria;p__WS4	k__Bacteria;p__SBR1093	0.73944	0.5025919	0	0.73944	2	0.48667043	0.005316005	0.0182593215217391	0.0904380411447778
k__Bacteria;p__WS5	k__Bacteria;p__Bacteroidetes	0.73944	0.17870086	0	0.73944	2	0.7488252	0.005316005	0.0182593215217391	0.0904380411447778
k__Bacteria;p__WS5	k__Bacteria;p__GOUTA4	0.73944	0.5201986	0	0.73944	2	0.4682322	0.005316005	0.0182593215217391	0.0904380411447778
k__Bacteria;p__WS5	k__Bacteria;p__NKB19	0.73944	0.2039659	0	0.73944	2	0.731761	0.005316005	0.0182593215217391	0.0904380411447778
Richness_Avg	k__Bacteria;p__TM6	0.73944	0.72936875	0	0.73944	2	-0.10035564	0.005316005	0.0182593215217391	0.0904380411447778
Temperature	k__Archaea;p__Crenarchaeota	0.73944	0.62431115	0	0.73944	2	-0.33930647	0.005316005	0.0182593215217391	0.0904380411447778
Temperature	k__Bacteria;p__WPS-2	0.73944	0.17565238	0	0.73944	2	0.75085795	0.005316005	0.0182593215217391	0.0904380411447778
Temperature	PD_Avg	0.73944	-0.20104057	0	0.73944	2	0.9697838	0.005316005	0.0182593215217391	0.0904380411447778
OrganicMatter_500	k__Bacteria;p__FBP	0.73944	0.31070665	0	0.73944	2	-0.65477735	0.005316005	0.0182593215217391	0.0904380411447778
OrganicMatter_500	k__Bacteria;p__OctSpA1-106	0.73944	0.4854557	0	0.73944	2	-0.5039686	0.005316005	0.0182593215217391	0.0904380411447778
OrganicMatter_500	k__Bacteria;p__Proteobacteria	0.73944	0.34432626	0	0.73944	2	-0.62858075	0.005316005	0.0182593215217391	0.0904380411447778
